Corpus,Ajuste Fino,Representação,Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
brWaC,Sim,ELMo+CNN+Vetor,Wang2Vec,81.89%,80.87%,82.88%,0.45%
brWaC,Sim,ELMo+CNN+Vetor,Word2Vec,81.77%,80.79%,82.94%,0.50%
brWaC,Sim,ELMo+Vetor,GloVe,81.74%,80.09%,82.85%,0.50%
brWaC,Sim,ELMo+CNN+Vetor,GloVe,81.73%,81.21%,82.77%,0.35%
brWaC,Sim,ELMo+Vetor,Wang2Vec,81.64%,79.64%,82.82%,0.60%
brWaC,Não,ELMo+Vetor,Word2Vec,81.58%,80.51%,82.55%,0.47%
brWaC,Sim,ELMo+Vetor,Word2Vec,81.55%,79.80%,82.65%,0.62%
brWaC,Sim,ELMo,Sem Vetor,81.54%,80.78%,82.35%,0.46%
brWaC,Não,ELMo+Vetor,Wang2Vec,81.53%,79.72%,82.57%,0.51%
brWaC,Não,ELMo+Vetor,GloVe,81.51%,80.19%,82.37%,0.49%
brWaC,Não,ELMo,Sem Vetor,81.45%,79.47%,82.43%,0.68%
brWaC,Sim,ELMo+CNN,Sem Vetor,81.43%,79.70%,82.49%,0.61%
brWaC,Sim,ELMo+Vetor,FastText,81.40%,79.97%,82.46%,0.57%
brWaC,Sim,ELMo+CNN+Vetor,FastText,81.37%,79.72%,82.78%,0.68%
brWaC,Não,ELMo+CNN,Sem Vetor,81.34%,80.25%,82.65%,0.66%
brWaC,Não,ELMo+Vetor,FastText,81.28%,80.05%,82.30%,0.55%
Wikipedia,Sim,ELMo+Vetor,GloVe,81.16%,79.16%,82.40%,0.77%
Wikipedia,Sim,ELMo+CNN+Vetor,GloVe,81.08%,79.36%,82.48%,0.64%
Wikipedia,Não,ELMo+Vetor,GloVe,81.06%,80.28%,82.14%,0.44%
Wikipedia,Sim,ELMo+Vetor,Wang2Vec,81.05%,79.37%,82.04%,0.56%
Wikipedia,Sim,ELMo+Vetor,Word2Vec,81.04%,79.36%,81.87%,0.55%
Wikipedia,Não,ELMo+Vetor,Wang2Vec,81.01%,80.04%,82.31%,0.49%
Wikipedia,Não,ELMo+CNN+Vetor,Wang2Vec,80.89%,79.41%,82.92%,0.63%
Wikipedia,Não,ELMo+CNN+Vetor,GloVe,80.88%,79.36%,81.93%,0.61%
Wikipedia,Não,ELMo,Sem Vetor,80.81%,79.58%,81.87%,0.48%
Wikipedia,Sim,ELMo+CNN+Vetor,Wang2Vec,80.80%,79.55%,82.34%,0.65%
brWaC,Não,ELMo+CNN+Vetor,Wang2Vec,80.80%,79.46%,82.71%,0.62%
brWaC,Não,ELMo+CNN+Vetor,GloVe,80.79%,78.68%,82.30%,0.67%
Wikipedia,Não,ELMo+CNN,Sem Vetor,80.76%,79.81%,81.64%,0.43%
Wikipedia,Não,ELMo+Vetor,Word2Vec,80.71%,78.72%,81.87%,0.61%
Wikipedia,Sim,ELMo+CNN+Vetor,Word2Vec,80.71%,79.25%,82.12%,0.63%
Wikipedia,Sim,ELMo+CNN+Vetor,FastText,80.68%,79.30%,81.78%,0.56%
Wikipedia,Sim,ELMo+Vetor,FastText,80.55%,77.84%,82.56%,0.80%
Wikipedia,Não,ELMo+CNN+Vetor,Word2Vec,80.48%,79.00%,82.51%,0.65%
brWaC,Não,ELMo+CNN+Vetor,Word2Vec,80.48%,79.10%,82.27%,0.64%
Wikipedia,Sim,ELMo,Sem Vetor,80.46%,79.36%,81.85%,0.58%
Wikipedia,Não,ELMo+Vetor,FastText,80.46%,78.75%,81.93%,0.66%
Wikipedia,Sim,ELMo+CNN,Sem Vetor,80.39%,78.40%,81.76%,0.78%
Wikipedia,Não,ELMo+CNN+Vetor,FastText,80.30%,78.24%,82.16%,0.80%
brWaC,Não,ELMo+CNN+Vetor,FastText,80.28%,78.66%,82.07%,0.75%
