Corpus,Ajuste Fino,Representação,Vetor,Tipo de Vetor,F-Score,Mínimo,Máximo,Desvio Padrão
brWaC,Sim,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,81.96%,80.91%,82.88%,0.49%
brWaC,Sim,ELMo+CNN+Vetor,Wang2Vec,CBoW,81.82%,80.87%,82.77%,0.41%
brWaC,Sim,ELMo+CNN+Vetor,FastText,Skip-Gram,81.81%,79.79%,82.78%,0.53%
brWaC,Sim,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,81.80%,80.79%,82.94%,0.48%
brWaC,Sim,ELMo+CNN+Vetor,Word2Vec,CBoW,81.75%,80.82%,82.82%,0.52%
brWaC,Sim,ELMo+Vetor,Wang2Vec,Skip-Gram,81.74%,80.20%,82.82%,0.57%
brWaC,Sim,ELMo+Vetor,GloVe,GloVe,81.74%,80.09%,82.85%,0.50%
brWaC,Sim,ELMo+CNN+Vetor,GloVe,GloVe,81.73%,81.21%,82.77%,0.35%
brWaC,Não,ELMo+Vetor,Word2Vec,Skip-Gram,81.63%,80.69%,82.35%,0.44%
brWaC,Não,ELMo+Vetor,Wang2Vec,CBoW,81.59%,80.31%,82.57%,0.51%
brWaC,Não,ELMo+Vetor,FastText,Skip-Gram,81.56%,80.05%,82.30%,0.53%
brWaC,Sim,ELMo+Vetor,FastText,Skip-Gram,81.55%,80.34%,82.32%,0.53%
brWaC,Sim,ELMo+Vetor,Word2Vec,CBoW,81.55%,80.27%,82.43%,0.57%
brWaC,Sim,ELMo+Vetor,Word2Vec,Skip-Gram,81.54%,79.80%,82.65%,0.66%
brWaC,Sim,ELMo,Sem Vetor,Sem Vetor,81.54%,80.78%,82.35%,0.46%
brWaC,Sim,ELMo+Vetor,Wang2Vec,CBoW,81.53%,79.64%,82.66%,0.62%
brWaC,Não,ELMo+Vetor,Word2Vec,CBoW,81.52%,80.51%,82.55%,0.50%
brWaC,Não,ELMo+Vetor,GloVe,GloVe,81.51%,80.19%,82.37%,0.49%
brWaC,Não,ELMo+Vetor,Wang2Vec,Skip-Gram,81.47%,79.72%,82.37%,0.49%
brWaC,Não,ELMo,Sem Vetor,Sem Vetor,81.45%,79.47%,82.43%,0.68%
brWaC,Sim,ELMo+CNN,Sem Vetor,Sem Vetor,81.43%,79.70%,82.49%,0.61%
brWaC,Não,ELMo+CNN,Sem Vetor,Sem Vetor,81.34%,80.25%,82.65%,0.66%
brWaC,Sim,ELMo+Vetor,FastText,CBoW,81.25%,79.97%,82.46%,0.57%
Wikipedia,Sim,ELMo+Vetor,Word2Vec,Skip-Gram,81.20%,80.23%,81.86%,0.39%
Wikipedia,Sim,ELMo+Vetor,GloVe,GloVe,81.16%,79.16%,82.40%,0.77%
Wikipedia,Sim,ELMo+Vetor,Wang2Vec,Skip-Gram,81.10%,80.13%,82.03%,0.50%
Wikipedia,Sim,ELMo+CNN+Vetor,GloVe,GloVe,81.08%,79.36%,82.48%,0.64%
Wikipedia,Não,ELMo+Vetor,GloVe,GloVe,81.06%,80.28%,82.14%,0.44%
Wikipedia,Não,ELMo+Vetor,Wang2Vec,Skip-Gram,81.06%,80.04%,82.21%,0.46%
Wikipedia,Sim,ELMo+Vetor,Wang2Vec,CBoW,81.00%,79.37%,82.04%,0.63%
brWaC,Não,ELMo+Vetor,FastText,CBoW,81.00%,80.25%,82.19%,0.42%
Wikipedia,Não,ELMo+Vetor,Wang2Vec,CBoW,80.96%,80.17%,82.31%,0.51%
Wikipedia,Não,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,80.95%,79.41%,82.92%,0.68%
brWaC,Sim,ELMo+CNN+Vetor,FastText,CBoW,80.94%,79.72%,82.08%,0.51%
Wikipedia,Sim,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,80.89%,79.55%,82.28%,0.58%
Wikipedia,Sim,ELMo+Vetor,Word2Vec,CBoW,80.88%,79.36%,81.87%,0.64%
Wikipedia,Não,ELMo+CNN+Vetor,GloVe,GloVe,80.88%,79.36%,81.93%,0.61%
Wikipedia,Não,ELMo+CNN+Vetor,Wang2Vec,CBoW,80.83%,79.69%,82.15%,0.57%
Wikipedia,Sim,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,80.83%,79.72%,82.12%,0.60%
Wikipedia,Sim,ELMo+Vetor,FastText,Skip-Gram,80.83%,79.22%,82.56%,0.73%
Wikipedia,Não,ELMo,Sem Vetor,Sem Vetor,80.81%,79.58%,81.87%,0.48%
brWaC,Não,ELMo+CNN+Vetor,Wang2Vec,Skip-Gram,80.81%,79.46%,82.71%,0.64%
brWaC,Não,ELMo+CNN+Vetor,Wang2Vec,CBoW,80.79%,79.74%,82.27%,0.61%
brWaC,Não,ELMo+CNN+Vetor,GloVe,GloVe,80.79%,78.68%,82.30%,0.67%
Wikipedia,Não,ELMo+Vetor,Word2Vec,Skip-Gram,80.78%,79.26%,81.65%,0.55%
Wikipedia,Não,ELMo+CNN,Sem Vetor,Sem Vetor,80.76%,79.81%,81.64%,0.43%
Wikipedia,Não,ELMo+Vetor,FastText,Skip-Gram,80.73%,78.95%,81.93%,0.71%
Wikipedia,Sim,ELMo+CNN+Vetor,Wang2Vec,CBoW,80.72%,79.62%,82.34%,0.70%
Wikipedia,Sim,ELMo+CNN+Vetor,FastText,Skip-Gram,80.71%,79.30%,81.78%,0.63%
Wikipedia,Não,ELMo+CNN+Vetor,FastText,Skip-Gram,80.68%,78.90%,82.16%,0.70%
Wikipedia,Sim,ELMo+CNN+Vetor,FastText,CBoW,80.64%,79.70%,81.69%,0.49%
Wikipedia,Não,ELMo+Vetor,Word2Vec,CBoW,80.64%,78.72%,81.87%,0.67%
Wikipedia,Sim,ELMo+CNN+Vetor,Word2Vec,CBoW,80.58%,79.25%,81.93%,0.64%
brWaC,Não,ELMo+CNN+Vetor,FastText,Skip-Gram,80.58%,79.40%,82.07%,0.65%
Wikipedia,Não,ELMo+CNN+Vetor,Word2Vec,CBoW,80.52%,79.13%,82.51%,0.68%
brWaC,Não,ELMo+CNN+Vetor,Word2Vec,CBoW,80.49%,79.10%,82.27%,0.64%
Wikipedia,Sim,ELMo,Sem Vetor,Sem Vetor,80.46%,79.36%,81.85%,0.58%
brWaC,Não,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,80.46%,79.30%,81.89%,0.65%
Wikipedia,Não,ELMo+CNN+Vetor,Word2Vec,Skip-Gram,80.45%,79.00%,81.67%,0.63%
Wikipedia,Sim,ELMo+CNN,Sem Vetor,Sem Vetor,80.39%,78.40%,81.76%,0.78%
Wikipedia,Sim,ELMo+Vetor,FastText,CBoW,80.27%,77.84%,81.93%,0.78%
Wikipedia,Não,ELMo+Vetor,FastText,CBoW,80.19%,78.75%,81.08%,0.48%
brWaC,Não,ELMo+CNN+Vetor,FastText,CBoW,79.97%,78.66%,81.55%,0.71%
Wikipedia,Não,ELMo+CNN+Vetor,FastText,CBoW,79.92%,78.24%,81.36%,0.71%
