Factors,PR(>F)
C(Embedding),0.0000000000
C(Tagging_Scheme),0.0989157282
C(Capitalisation_Dim),0.2507686307
C(Char_LSTM_Dim),0.1150929668
C(Word_LSTM_Dim),0.0019931259
C(Embedding):C(Tagging_Scheme),0.4639702005
C(Embedding):C(Capitalisation_Dim),0.5940033348
C(Tagging_Scheme):C(Capitalisation_Dim),0.8850777126
C(Embedding):C(Char_LSTM_Dim),0.0284698026
C(Tagging_Scheme):C(Char_LSTM_Dim),0.2429145834
C(Capitalisation_Dim):C(Char_LSTM_Dim),0.3647085896
C(Embedding):C(Word_LSTM_Dim),0.3830293247
C(Tagging_Scheme):C(Word_LSTM_Dim),0.2112993414
C(Capitalisation_Dim):C(Word_LSTM_Dim),0.5799601161
C(Char_LSTM_Dim):C(Word_LSTM_Dim),0.0510225953
C(Embedding):C(Tagging_Scheme):C(Capitalisation_Dim),0.5778006696
C(Embedding):C(Tagging_Scheme):C(Char_LSTM_Dim),0.0286239117
C(Embedding):C(Capitalisation_Dim):C(Char_LSTM_Dim),0.6208711525
C(Tagging_Scheme):C(Capitalisation_Dim):C(Char_LSTM_Dim),0.4014532166
C(Embedding):C(Tagging_Scheme):C(Word_LSTM_Dim),0.8177856825
C(Embedding):C(Capitalisation_Dim):C(Word_LSTM_Dim),0.5720358134
C(Tagging_Scheme):C(Capitalisation_Dim):C(Word_LSTM_Dim),0.8838966855
C(Embedding):C(Char_LSTM_Dim):C(Word_LSTM_Dim),0.4236826532
C(Tagging_Scheme):C(Char_LSTM_Dim):C(Word_LSTM_Dim),0.7096472138
C(Capitalisation_Dim):C(Char_LSTM_Dim):C(Word_LSTM_Dim),0.8362970426
C(Embedding):C(Tagging_Scheme):C(Capitalisation_Dim):C(Char_LSTM_Dim),0.3905466975
C(Embedding):C(Tagging_Scheme):C(Capitalisation_Dim):C(Word_LSTM_Dim),0.1359460181
C(Embedding):C(Tagging_Scheme):C(Char_LSTM_Dim):C(Word_LSTM_Dim),0.4023071964
C(Embedding):C(Capitalisation_Dim):C(Char_LSTM_Dim):C(Word_LSTM_Dim),0.8206823379
C(Tagging_Scheme):C(Capitalisation_Dim):C(Char_LSTM_Dim):C(Word_LSTM_Dim),0.7878813269
C(Embedding):C(Tagging_Scheme):C(Capitalisation_Dim):C(Char_LSTM_Dim):C(Word_LSTM_Dim),0.5454687467
